League Name,name,id,was_active,total_attacks,total_defenses,trophies,current_rank,attack_0_star,attack_1_star,attack_2_star,attack_3_star,attack_total_star,defense_0_star,defense_1_star,defense_2_star,defense_3_star,defense_total_star,possible_attacks,possible_defense,attack_judge,defense_judge,attack_avg,defense_avg
Golem League 19,skarmorist,LULLURVYC,True,12,9,741,1,0,0,3,9,33,1,3,5,0,13,12,12,,,2.75,1.4444444444444444
Witch League 18,Turbo_Thorsten,LV0C8VGYV,True,10,6,255,64,0,5,3,2,17,0,1,0,5,16,10,10,,,1.7,2.6666666666666665
-,Fabian,GV0RCYC2L,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Kakashi:*,8CQLYYQV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Wizard League 12,Fogetek,QCQYUVQ0U,True,8,5,286,40,0,0,4,4,20,0,0,2,3,13,8,8,,,2.5,2.6
Wizard League 12,Dave,R2R200L09,True,8,6,190,74,0,4,4,0,12,0,1,1,4,15,8,8,,,1.5,2.5
Wizard League 11,finn_2502,RR2JJPJY,True,8,5,430,11,0,1,2,5,20,0,2,3,0,8,8,8,,,2.5,1.6
Wizard League 10,bebra00,GLC098UG0,True,8,6,473,1,0,0,2,6,22,0,5,0,1,8,8,8,,,2.75,1.3333333333333333
-,Alexa,GV0U2LPV0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Wizard League 11,Homers87,R0L9VV290,True,5,4,110,82,2,2,0,1,5,0,0,2,2,10,8,8,,,1.0,2.5
-,Schmeili 01we,L0QRYL8Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Archer League 8,jjj,LQ2J90RVG,True,6,4,172,68,1,1,2,2,11,0,0,1,3,11,8,8,,,1.8333333333333333,2.75
Barbarian League 5,GerminatorSuxx,R209PJUYR,True,6,4,240,31,0,0,0,6,18,0,0,0,4,12,6,6,,,3.0,3.0
-,mona,GVJLCYGQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Barbarian League 4,Ar47 remmo,GGVQ0LG9C,True,2,3,51,87,0,1,0,1,4,0,0,0,3,9,6,6,,,2.0,3.0
-,skarmorist2,G2LYLY88Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Skeleton League 2,Hadith,GRR8RPCU9,True,6,4,306,16,0,1,1,4,15,1,0,2,1,7,6,6,,,2.5,1.75
-,skarmorist3,G08QVJ0QC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Skeleton League 3,ruwell 2.0,R0PYQCJVJ,True,6,5,144,69,1,3,1,1,8,1,0,0,4,12,6,6,,,1.3333333333333333,2.4
-,Goon,GR2C8VPYY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Skeleton League 2,LightOfFlame,R90LY0JJ9,True,6,5,438,1,0,0,0,6,18,2,3,0,0,3,6,6,,,3.0,0.6
Skeleton League 1,skarmoristRush,GVRLLU2J2,True,1,3,3,90,1,0,0,0,0,0,0,0,3,9,6,6,,,0.0,3.0
-,Haram,QPULC2929,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Gör,CUJR98JR,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,AioScHi,920VG0QRY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,byToobii,9Q80GC22J,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,jonny,LQ9RQ0UJ8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
