League Name,name,id,was_active,total_attacks,total_defenses,trophies,current_rank,attack_0_star,attack_1_star,attack_2_star,attack_3_star,attack_total_star,defense_0_star,defense_1_star,defense_2_star,defense_3_star,defense_total_star,possible_attacks,possible_defense,attack_judge,defense_judge,attack_avg,defense_avg
Valkyrie League 14,Turbo_Thorsten,LV0C8VGYV,True,10,5,500,11,0,1,1,8,27,0,2,1,2,10,10,10,,,2.7,2.0
-,Kakashi:*,8CQLYYQV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Fabian,GV0RCYC2L,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Wizard League 11,Dave,R2R200L09,True,8,4,276,35,0,3,3,2,15,0,1,1,2,9,8,8,,,1.875,2.25
Wizard League 10,Fogetek,QCQYUVQ0U,True,8,6,473,2,0,0,1,7,23,0,3,3,0,9,8,8,,,2.875,1.5
-,finn_2502,RR2JJPJY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Alexa,GV0U2LPV0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Homers87,R0L9VV290,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Archer League 9,bebra00,GLC098UG0,True,2,7,126,92,1,1,0,0,1,0,3,1,3,14,8,8,,,0.5,2.0
-,Schmeili 01we,L0QRYL8Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Archer League 7,jjj,LQ2J90RVG,True,8,6,254,47,0,3,1,4,17,0,1,0,5,16,8,8,,,2.125,2.6666666666666665
-,tomm3yr,R0GC8Y9CQ,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,mona,GVJLCYGQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Skeleton League 3,GerminatorSuxx,R209PJUYR,True,6,4,240,30,0,0,0,6,18,0,0,0,4,12,6,6,,,3.0,3.0
Skeleton League 3,Ar47 remmo,GGVQ0LG9C,True,6,4,226,34,1,1,0,4,13,0,1,1,2,9,6,6,,,2.1666666666666665,2.25
-,skarmorist2,G2LYLY88Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist3,G08QVJ0QC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Skeleton League 2,ruwell 2.0,R0PYQCJVJ,True,6,3,126,60,1,1,3,1,10,0,0,0,3,9,6,6,,,1.6666666666666667,3.0
-,Goon,GR2C8VPYY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Hadith,GRR8RPCU9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmoristRush,GVRLLU2J2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Haram,QPULC2929,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,adriano,GV2LRLU09,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Gör,CUJR98JR,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,AioScHi,920VG0QRY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,byToobii,9Q80GC22J,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,jonny,LQ9RQ0UJ8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
